,h,b,t,r_o,r_i,m,P,A,A_vz,A_vy,I_y,i_y,W_ely,W_ply,I_z,i_z,W_elz,W_plz,I_T,W_T,manufacture
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm],[mm3],[mm3],[mm4],[mm3],
SHS40x3.2,40,40,3.2,4.8,3.2,3.61,152,460,230,230,102300,14.9,5115,6284,102300,14.9,5115,6284,165400,7417,hot
SHS40x5,40,40,5,7.5,5,5.28,147,673,337,337,133700,14.1,6684,8663,133700,14.1,6684,8663,225000,9602,hot
SHS50x2.6,50,50,2.6,3.9,2.6,3.81,193,486,243,243,180300,19.3,7212,8583,180300,19.3,7212,8583,284100,10550,hot
SHS50x3.2,50,50,3.2,4.8,3.2,4.62,192,588,294,294,212300,19,8491,10240,212300,19,8491,10240,338200,12370,hot
SHS50x6.3,50,50,6.3,9.4,6.3,8.31,184,1059,529,529,327600,17.6,13100,17010,327600,17.6,13100,17010,551900,18820,hot
SHS60x2.6,60,60,2.6,3.9,2.6,4.63,233,590,295,295,321600,23.4,10720,12630,321600,23.4,10720,12630,502500,15740,hot
SHS60x3.2,60,60,3.2,4.8,3.2,5.62,232,716,358,358,381600,23.1,12720,15160,381600,23.1,12720,15160,601900,18600,hot
SHS60x8,60,60,8,12,8,12.5,219,1595,798,798,697300,20.9,23240,30440,697300,20.9,23240,30440,1182000,33350,hot
SHS70x3.2,70,70,3.2,4.8,3.2,6.63,272,844,422,422,623100,27.2,17800,21040,623100,27.2,17800,21040,975800,26110,hot
SHS70x8,70,70,8,12,8,15,259,1915,958,958,1198000,25,34220,43770,1198000,25,34220,43770,1997000,49240,hot
SHS80x3.2,80,80,3.2,4.8,3.2,7.63,312,972,486,486,949500,31.3,23740,27880,949500,31.3,23740,27880,1479000,34900,hot
SHS150x14.2,150,150,14.2,21.3,14.2,58.9,563,7497,3749,3749,22620000,54.9,301500,376900,22620000,54.9,301500,376900,37070000,435700,hot
