Unnamed: 0,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS244.5x20,244.5,20.0,110.7,768.0,14106.0,8980.0,89570000.0,79.7,732700.0,1011000.0,179100000.0,1465000.0
CHS244.5x25,244.5,25.0,135.3,768.0,17239.0,10975.0,105200000.0,78.1,860300.0,1210000.0,210300000.0,1721000.0
CHS273x5,273.0,5.0,33.0,858.0,4210.0,2680.0,37810000.0,94.8,277000.0,359200.0,75620000.0,554000.0
CHS273x6.3,273.0,6.3,41.4,858.0,5279.0,3360.0,46960000.0,94.3,344000.0,448200.0,93920000.0,688000.0
CHS273x8,273.0,8.0,52.3,858.0,6660.0,4240.0,58520000.0,93.7,428700.0,562000.0,117000000.0,857400.0
CHS273x10,273.0,10.0,64.9,858.0,8262.0,5260.0,71540000.0,93.1,524100.0,692000.0,143100000.0,1048000.0
CHS273x12.5,273.0,12.5,80.3,858.0,10230.0,6512.0,86970000.0,92.2,637200.0,848900.0,173900000.0,1274000.0
CHS273x14.2,273.0,14.2,90.6,858.0,11545.0,7350.0,96950000.0,91.6,710300.0,952000.0,193900000.0,1421000.0
CHS273x16,273.0,16.0,101.4,858.0,12918.0,8224.0,107100000.0,91.0,784400.0,1058000.0,214100000.0,1569000.0
CHS273x20,273.0,20.0,124.8,858.0,15896.0,10120.0,128000000.0,89.7,937600.0,1283000.0,256000000.0,1875000.0
CHS273x25,273.0,25.0,152.9,858.0,19478.0,12400.0,151300000.0,88.1,1108000.0,1543000.0,302500000.0,2216000.0
CHS323.9x5,323.9,5.0,39.3,1018.0,5009.0,3189.0,63690000.0,112.8,393300.0,508500.0,127400000.0,786600.0
CHS323.9x6.3,323.9,6.3,49.3,1018.0,6286.0,4002.0,79290000.0,112.3,489600.0,635600.0,158600000.0,979200.0
CHS323.9x8,323.9,8.0,62.3,1018.0,7939.0,5054.0,99100000.0,111.7,611900.0,798500.0,198200000.0,1224000.0
