,D,t,m,P,A,Av,I,i,Wel,Wpl,IT,WT
,[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm4],[mm],[mm3],[mm3],[mm4],[mm3]
CHS813x8,813,8,158.8,2554,20232,12880,1639000000,284.6,4032000,5184000,3278000000,8064000
CHS813x10,813,10,198,2554,25227,16060,2034000000,283.9,5003000,6448000,4067000000,10010000
CHS813x12,813,12,237,2554,30197,19224,2422000000,283.2,5959000,7700000,4845000000,11920000
CHS813x12.5,813,12.5,246.8,2554,31436,20012,2519000000,283.1,6196000,8011000,5037000000,12390000
CHS813x16,813,16,314.5,2554,40062,25504,3182000000,281.8,7828000,10160000,6364000000,15660000
CHS813x20,813,20,391.1,2554,49826,31720,3919000000,280.5,9641000,12580000,7838000000,19280000
CHS813x25,813,25,485.8,2554,61889,39400,4809000000,278.7,11830000,15530000,9617000000,23660000
CHS813x30,813,30,579.3,2554,73796,46980,5664000000,277,13930000,18400000,11330000000,27870000
CHS914x8,914,8,178.7,2871,22770,14496,2337000000,320.3,5113000,6567000,4673000000,10230000
CHS914x10,914,10,222.9,2871,28400,18080,2901000000,319.6,6349000,8172000,5803000000,12700000
CHS914x12,914,12,266.9,2871,34005,21648,3459000000,318.9,7569000,9764000,6918000000,15140000
CHS914x12.5,914,12.5,277.9,2871,35402,22538,3597000000,318.8,7871000,10160000,7194000000,15740000
CHS914x16,914,16,354.3,2871,45138,28736,4551000000,317.5,9959000,12900000,9103000000,19920000
CHS914x20,914,20,440.9,2871,56172,35760,5615000000,316.2,12290000,15990000,11230000000,24570000
CHS914x25,914,25,548.1,2871,69822,44450,6903000000,314.4,15110000,19760000,13810000000,30210000
CHS914x30,914,30,654,2871,83315,53040,8148000000,312.7,17830000,23450000,16300000000,35660000
CHS1016x8,1016,8,198.9,3192,25334,16128,3218000000,356.4,6334000,8129000,6436000000,12670000
CHS1016x10,1016,10,248.1,3192,31604,20120,3998000000,355.7,7871000,10120000,7997000000,15740000
CHS1016x12,1016,12,297.1,3192,37850,24096,4770000000,355,9389000,12100000,9540000000,18780000
CHS1016x12.5,1016,12.5,309.3,3192,39407,25088,4961000000,354.8,9766000,12590000,9922000000,19530000
CHS1016x16,1016,16,394.6,3192,50265,32000,6285000000,353.6,12370000,16000000,12570000000,24740000
CHS1016x20,1016,20,491.3,3192,62581,39840,7763000000,352.2,15280000,19840000,15530000000,30560000
CHS1016x25,1016,25,611,3192,77833,49550,9561000000,350.5,18820000,24560000,19120000000,37640000
CHS1016x30,1016,30,729.5,3192,92928,59160,11300000000,348.8,22250000,29170000,22610000000,44500000
CHS1067x10,1067,10,260.7,3352,33207,21140,4638000000,373.7,8693000,11170000,9276000000,17390000
CHS1067x12,1067,12,312.2,3352,39773,25320,5534000000,373,10370000,13360000,11070000000,20750000
CHS1067x12.5,1067,12.5,325.1,3352,41410,26362,5757000000,372.8,10790000,13900000,11510000000,21580000
CHS1067x16,1067,16,414.7,3352,52829,33632,7296000000,371.6,13680000,17670000,14590000000,27350000
CHS1067x20,1067,20,516.4,3352,65785,41880,9018000000,370.2,16900000,21930000,18040000000,33810000
CHS1067x25,1067,25,642.4,3352,81838,52100,11110000000,368.5,20830000,27150000,22230000000,41660000
CHS1067x30,1067,30,767.2,3352,97735,62220,13150000000,366.8,24650000,32270000,26300000000,49290000
CHS1168x10,1168,10,285.6,3669,36380,23160,6098000000,409.4,10440000,13410000,12200000000,20890000
CHS1168x12,1168,12,342.1,3669,43580,27744,7281000000,408.7,12470000,16040000,14560000000,24930000
CHS1168x12.5,1168,12.5,356.2,3669,45376,28888,7574000000,408.6,12970000,16690000,15150000000,25940000
CHS1168x16,1168,16,454.6,3669,57906,36864,9608000000,407.3,16450000,21240000,19220000000,32900000
CHS1168x20,1168,20,566.2,3669,72131,45920,11890000000,405.9,20350000,26360000,23770000000,40710000
CHS1168x25,1168,25,704.7,3669,89771,57150,14670000000,404.2,25120000,32670000,29330000000,50230000
CHS1219x10,1219,10,298.2,3830,37982,24180,6940000000,427.5,11390000,14620000,13880000000,22770000
CHS1219x12,1219,12,357.2,3830,45503,28968,8287000000,426.8,13600000,17480000,16570000000,27190000
CHS1219x12.5,1219,12.5,371.9,3830,47379,30162,8622000000,426.6,14150000,18200000,17240000000,28290000
CHS1219x16,1219,16,474.7,3830,60469,38496,10940000000,425.4,17950000,23160000,21880000000,35900000
CHS1219x20,1219,20,591.4,3830,75335,47960,13540000000,424,22220000,28750000,27080000000,44430000
CHS1219x25,1219,25,736.1,3830,93777,59700,16720000000,422.2,27430000,35650000,33440000000,54860000
